epoch,train_accuracy,train_loss,valid_accuracy,valid_loss
261,88.8412630375768,"tensor(0.2646, device='cuda:0')",84.93333333333334,"tensor(0.3500, device='cuda:0')"
262,89.01271610230033,"tensor(0.2629, device='cuda:0')",84.75,"tensor(0.3483, device='cuda:0')"
263,89.14130590084298,"tensor(0.2617, device='cuda:0')",84.75,"tensor(0.3489, device='cuda:0')"
264,89.35562223174739,"tensor(0.2583, device='cuda:0')",84.6,"tensor(0.3485, device='cuda:0')"
265,89.2056008001143,"tensor(0.2603, device='cuda:0')",84.83333333333334,"tensor(0.3472, device='cuda:0')"
266,89.39848549792828,"tensor(0.2578, device='cuda:0')",84.95,"tensor(0.3476, device='cuda:0')"
267,89.27703957708243,"tensor(0.2576, device='cuda:0')",85.2,"tensor(0.3466, device='cuda:0')"
268,89.29132733247607,"tensor(0.2572, device='cuda:0')",84.91666666666666,"tensor(0.3439, device='cuda:0')"
269,89.42706100871554,"tensor(0.2547, device='cuda:0')",84.76666666666667,"tensor(0.3496, device='cuda:0')"
270,89.27703957708243,"tensor(0.2565, device='cuda:0')",84.85000000000001,"tensor(0.3480, device='cuda:0')"
271,89.50564366338048,"tensor(0.2541, device='cuda:0')",84.89999999999999,"tensor(0.3463, device='cuda:0')"
272,89.29132733247607,"tensor(0.2557, device='cuda:0')",84.8,"tensor(0.3477, device='cuda:0')"
273,89.46992427489641,"tensor(0.2548, device='cuda:0')",84.76666666666667,"tensor(0.3494, device='cuda:0')"
274,89.39134162023146,"tensor(0.2560, device='cuda:0')",84.6,"tensor(0.3525, device='cuda:0')"
275,89.21274467781112,"tensor(0.2547, device='cuda:0')",85.18333333333334,"tensor(0.3471, device='cuda:0')"
276,89.38419774253464,"tensor(0.2550, device='cuda:0')",85.1,"tensor(0.3435, device='cuda:0')"
277,89.50564366338048,"tensor(0.2533, device='cuda:0')",84.96666666666667,"tensor(0.3442, device='cuda:0')"
278,89.53421917416775,"tensor(0.2516, device='cuda:0')",85.2,"tensor(0.3475, device='cuda:0')"
279,89.562794684955,"tensor(0.2513, device='cuda:0')",84.88333333333333,"tensor(0.3500, device='cuda:0')"
280,89.44134876410916,"tensor(0.2536, device='cuda:0')",84.95,"tensor(0.3467, device='cuda:0')"
281,89.79139877125304,"tensor(0.2484, device='cuda:0')",84.86666666666667,"tensor(0.3445, device='cuda:0')"
282,89.66280897271038,"tensor(0.2502, device='cuda:0')",84.85000000000001,"tensor(0.3453, device='cuda:0')"
283,89.66280897271038,"tensor(0.2486, device='cuda:0')",84.78333333333333,"tensor(0.3482, device='cuda:0')"
284,89.7699671381626,"tensor(0.2502, device='cuda:0')",85.01666666666667,"tensor(0.3456, device='cuda:0')"
285,89.71281611658807,"tensor(0.2485, device='cuda:0')",84.98333333333333,"tensor(0.3437, device='cuda:0')"
286,89.84854979282755,"tensor(0.2485, device='cuda:0')",85.08333333333333,"tensor(0.3506, device='cuda:0')"
287,89.96999571367338,"tensor(0.2493, device='cuda:0')",84.8,"tensor(0.3446, device='cuda:0')"
288,89.85569367052436,"tensor(0.2468, device='cuda:0')",85.25,"tensor(0.3451, device='cuda:0')"
289,89.9271324474925,"tensor(0.2462, device='cuda:0')",85.1,"tensor(0.3456, device='cuda:0')"
290,89.75567938276897,"tensor(0.2453, device='cuda:0')",85.13333333333334,"tensor(0.3441, device='cuda:0')"
